,Survey Year,Gender,Average Head Coach Salary,Survey Year,Gender,Average Recruiting Expenses,Survey Year,Gender,Average Athletic Aid
119,2020,Men's Team Head Coach Average Salary,954465,2020,Men's Team Recruiting Expenses,253811,2020,Men's Team Athletic Student Aid,6643880
120,2020,Men's Team Head Coach Average Salary,969605,2020,Men's Team Recruiting Expenses,235962,2020,Men's Team Athletic Student Aid,11916989
121,2020,Men's Team Head Coach Average Salary,982285,2020,Men's Team Recruiting Expenses,277722,2020,Men's Team Athletic Student Aid,8483474
122,2020,Men's Team Head Coach Average Salary,759134,2020,Men's Team Recruiting Expenses,102715,2020,Men's Team Athletic Student Aid,9941572
123,2020,Men's Team Head Coach Average Salary,1466200,2020,Men's Team Recruiting Expenses,701230,2020,Men's Team Athletic Student Aid,10145969
124,2020,Men's Team Head Coach Average Salary,849247,2020,Men's Team Recruiting Expenses,161609,2020,Men's Team Athletic Student Aid,8656061
125,2020,Men's Team Head Coach Average Salary,969003,2020,Men's Team Recruiting Expenses,202331,2020,Men's Team Athletic Student Aid,11823697
126,2020,Men's Team Head Coach Average Salary,881277,2020,Men's Team Recruiting Expenses,161556,2020,Men's Team Athletic Student Aid,6469199
127,2020,Men's Team Head Coach Average Salary,1064699,2020,Men's Team Recruiting Expenses,197213,2020,Men's Team Athletic Student Aid,4999929
128,2021,Men's Team Head Coach Average Salary,1090612,2021,Men's Team Recruiting Expenses,859241,2021,Men's Team Athletic Student Aid,9413289
129,2021,Men's Team Head Coach Average Salary,1696707,2021,Men's Team Recruiting Expenses,1969628,2021,Men's Team Athletic Student Aid,9084209
130,2021,Men's Team Head Coach Average Salary,1539317,2021,Men's Team Recruiting Expenses,1427354,2021,Men's Team Athletic Student Aid,10292189
131,2021,Men's Team Head Coach Average Salary,553267,2021,Men's Team Recruiting Expenses,1151123,2021,Men's Team Athletic Student Aid,11696995
132,2021,Men's Team Head Coach Average Salary,1503156,2021,Men's Team Recruiting Expenses,3646871,2021,Men's Team Athletic Student Aid,7718603
133,2021,Men's Team Head Coach Average Salary,1060139,2021,Men's Team Recruiting Expenses,1986933,2021,Men's Team Athletic Student Aid,13082047
134,2021,Men's Team Head Coach Average Salary,1215527,2021,Men's Team Recruiting Expenses,1219728,2021,Men's Team Athletic Student Aid,6359099
135,2021,Men's Team Head Coach Average Salary,1241646,2021,Men's Team Recruiting Expenses,1578416,2021,Men's Team Athletic Student Aid,8653966
136,2021,Men's Team Head Coach Average Salary,873211,2021,Men's Team Recruiting Expenses,1721714,2021,Men's Team Athletic Student Aid,9505912
137,2021,Men's Team Head Coach Average Salary,1407663,2021,Men's Team Recruiting Expenses,1167742,2021,Men's Team Athletic Student Aid,5093555
138,2021,Men's Team Head Coach Average Salary,1594239,2021,Men's Team Recruiting Expenses,1371130,2021,Men's Team Athletic Student Aid,5936909
139,2021,Men's Team Head Coach Average Salary,2365695,2021,Men's Team Recruiting Expenses,1685120,2021,Men's Team Athletic Student Aid,6739860
140,2021,Men's Team Head Coach Average Salary,1853241,2021,Men's Team Recruiting Expenses,1470722,2021,Men's Team Athletic Student Aid,9558939
141,2021,Men's Team Head Coach Average Salary,1795547,2021,Men's Team Recruiting Expenses,1128541,2021,Men's Team Athletic Student Aid,5959122
142,2021,Men's Team Head Coach Average Salary,861472,2021,Men's Team Recruiting Expenses,1392844,2021,Men's Team Athletic Student Aid,6710072
143,2021,Men's Team Head Coach Average Salary,1248311,2021,Men's Team Recruiting Expenses,1238336,2021,Men's Team Athletic Student Aid,12416190
144,2021,Men's Team Head Coach Average Salary,849195,2021,Men's Team Recruiting Expenses,2415406,2021,Men's Team Athletic Student Aid,12866683
145,2021,Men's Team Head Coach Average Salary,1417212,2021,Men's Team Recruiting Expenses,893094,2021,Men's Team Athletic Student Aid,4341368
146,2021,Men's Team Head Coach Average Salary,517412,2021,Men's Team Recruiting Expenses,1357969,2021,Men's Team Athletic Student Aid,5830888
147,2021,Men's Team Head Coach Average Salary,1171841,2021,Men's Team Recruiting Expenses,1418467,2021,Men's Team Athletic Student Aid,7159923
148,2021,Men's Team Head Coach Average Salary,904508,2021,Men's Team Recruiting Expenses,2150954,2021,Men's Team Athletic Student Aid,9239806
149,2021,Men's Team Head Coach Average Salary,789665,2021,Men's Team Recruiting Expenses,1357551,2021,Men's Team Athletic Student Aid,13929797
150,2021,Men's Team Head Coach Average Salary,1319217,2021,Men's Team Recruiting Expenses,1094340,2021,Men's Team Athletic Student Aid,10711399
151,2021,Men's Team Head Coach Average Salary,2387189,2021,Men's Team Recruiting Expenses,4290520,2021,Men's Team Athletic Student Aid,8070244
152,2021,Men's Team Head Coach Average Salary,1453474,2021,Men's Team Recruiting Expenses,1227549,2021,Men's Team Athletic Student Aid,12091102
153,2021,Men's Team Head Coach Average Salary,1289049,2021,Men's Team Recruiting Expenses,2081937,2021,Men's Team Athletic Student Aid,4406588
154,2021,Men's Team Head Coach Average Salary,2141107,2021,Men's Team Recruiting Expenses,3217200,2021,Men's Team Athletic Student Aid,9205036
155,2021,Men's Team Head Coach Average Salary,1669438,2021,Men's Team Recruiting Expenses,2534934,2021,Men's Team Athletic Student Aid,9119911
156,2021,Men's Team Head Coach Average Salary,1924815,2021,Men's Team Recruiting Expenses,3577797,2021,Men's Team Athletic Student Aid,7819747
157,2021,Men's Team Head Coach Average Salary,1227375,2021,Men's Team Recruiting Expenses,1885982,2021,Men's Team Athletic Student Aid,7387950
158,2021,Men's Team Head Coach Average Salary,1783286,2021,Men's Team Recruiting Expenses,1683192,2021,Men's Team Athletic Student Aid,8639648
159,2021,Men's Team Head Coach Average Salary,609931,2021,Men's Team Recruiting Expenses,1445637,2021,Men's Team Athletic Student Aid,7185513
160,2021,Men's Team Head Coach Average Salary,1272005,2021,Men's Team Recruiting Expenses,1253845,2021,Men's Team Athletic Student Aid,7991802
161,2021,Men's Team Head Coach Average Salary,1339022,2021,Men's Team Recruiting Expenses,942060,2021,Men's Team Athletic Student Aid,6980007
162,2021,Men's Team Head Coach Average Salary,1743087,2021,Men's Team Recruiting Expenses,2218636,2021,Men's Team Athletic Student Aid,5728001
163,2021,Men's Team Head Coach Average Salary,1840286,2021,Men's Team Recruiting Expenses,5331795,2021,Men's Team Athletic Student Aid,5979234
164,2021,Men's Team Head Coach Average Salary,1291957,2021,Men's Team Recruiting Expenses,1868897,2021,Men's Team Athletic Student Aid,7249968
165,2021,Men's Team Head Coach Average Salary,1864375,2021,Men's Team Recruiting Expenses,1382213,2021,Men's Team Athletic Student Aid,6000221
166,2021,Men's Team Head Coach Average Salary,1913518,2021,Men's Team Recruiting Expenses,1401839,2021,Men's Team Athletic Student Aid,7310663
167,2021,Men's Team Head Coach Average Salary,2086874,2021,Men's Team Recruiting Expenses,2340820,2021,Men's Team Athletic Student Aid,8665935
168,2021,Men's Team Head Coach Average Salary,1044371,2021,Men's Team Recruiting Expenses,1560383,2021,Men's Team Athletic Student Aid,8190105
169,2021,Men's Team Head Coach Average Salary,1154684,2021,Men's Team Recruiting Expenses,1830252,2021,Men's Team Athletic Student Aid,10047168
170,2021,Men's Team Head Coach Average Salary,1702352,2021,Men's Team Recruiting Expenses,2334001,2021,Men's Team Athletic Student Aid,10034225
171,2021,Men's Team Head Coach Average Salary,861729,2021,Men's Team Recruiting Expenses,3387305,2021,Men's Team Athletic Student Aid,15790943
172,2021,Men's Team Head Coach Average Salary,962522,2021,Men's Team Recruiting Expenses,1681468,2021,Men's Team Athletic Student Aid,8140459
173,2021,Men's Team Head Coach Average Salary,2275127,2021,Men's Team Recruiting Expenses,1914164,2021,Men's Team Athletic Student Aid,6712986
174,2021,Men's Team Head Coach Average Salary,1069574,2021,Men's Team Recruiting Expenses,1722271,2021,Men's Team Athletic Student Aid,7487095
175,2021,Men's Team Head Coach Average Salary,1134676,2021,Men's Team Recruiting Expenses,1553797,2021,Men's Team Athletic Student Aid,6941371
176,2021,Men's Team Head Coach Average Salary,668944,2021,Men's Team Recruiting Expenses,1753781,2021,Men's Team Athletic Student Aid,7528375
177,2021,Men's Team Head Coach Average Salary,1148507,2021,Men's Team Recruiting Expenses,2349575,2021,Men's Team Athletic Student Aid,15953475
178,2021,Men's Team Head Coach Average Salary,1776286,2021,Men's Team Recruiting Expenses,3285304,2021,Men's Team Athletic Student Aid,9212056
179,2021,Men's Team Head Coach Average Salary,1531610,2021,Men's Team Recruiting Expenses,2191459,2021,Men's Team Athletic Student Aid,6991677
180,2021,Men's Team Head Coach Average Salary,1781913,2021,Men's Team Recruiting Expenses,1621838,2021,Men's Team Athletic Student Aid,10212061
181,2021,Men's Team Head Coach Average Salary,390310,2021,Men's Team Recruiting Expenses,1515687,2021,Men's Team Athletic Student Aid,6801120
182,2021,Men's Team Head Coach Average Salary,1404959,2021,Men's Team Recruiting Expenses,3597997,2021,Men's Team Athletic Student Aid,11724216
183,2021,Men's Team Head Coach Average Salary,900178,2021,Men's Team Recruiting Expenses,1506006,2021,Men's Team Athletic Student Aid,7064097
184,2021,Men's Team Head Coach Average Salary,1031415,2021,Men's Team Recruiting Expenses,1698518,2021,Men's Team Athletic Student Aid,11978442
185,2021,Men's Team Head Coach Average Salary,976741,2021,Men's Team Recruiting Expenses,1897676,2021,Men's Team Athletic Student Aid,8391877
186,2021,Men's Team Head Coach Average Salary,942388,2021,Men's Team Recruiting Expenses,1321293,2021,Men's Team Athletic Student Aid,10206210
187,2021,Men's Team Head Coach Average Salary,1680200,2021,Men's Team Recruiting Expenses,2404562,2021,Men's Team Athletic Student Aid,11373266
188,2021,Men's Team Head Coach Average Salary,943777,2021,Men's Team Recruiting Expenses,1483338,2021,Men's Team Athletic Student Aid,7962058
189,2021,Men's Team Head Coach Average Salary,1265388,2021,Men's Team Recruiting Expenses,829927,2021,Men's Team Athletic Student Aid,12478963
190,2021,Men's Team Head Coach Average Salary,714000,2021,Men's Team Recruiting Expenses,987170,2021,Men's Team Athletic Student Aid,6662543
191,2021,Men's Team Head Coach Average Salary,1289696,2021,Men's Team Recruiting Expenses,1386878,2021,Men's Team Athletic Student Aid,5895146
192,2019,Women's Team Head Coach Average Salary,192828,2019,Women's Team Recruiting Expenses,468036,2019,Women's Team Athletic Student Aid,7272408
193,2019,Women's Team Head Coach Average Salary,277412,2019,Women's Team Recruiting Expenses,542721,2019,Women's Team Athletic Student Aid,7587772
194,2019,Women's Team Head Coach Average Salary,466005,2019,Women's Team Recruiting Expenses,577036,2019,Women's Team Athletic Student Aid,8194159
195,2019,Women's Team Head Coach Average Salary,120131,2019,Women's Team Recruiting Expenses,261903,2019,Women's Team Athletic Student Aid,10169996
196,2019,Women's Team Head Coach Average Salary,239009,2019,Women's Team Recruiting Expenses,394360,2019,Women's Team Athletic Student Aid,6650912
197,2019,Women's Team Head Coach Average Salary,235456,2019,Women's Team Recruiting Expenses,434779,2019,Women's Team Athletic Student Aid,11584803
198,2019,Women's Team Head Coach Average Salary,372413,2019,Women's Team Recruiting Expenses,397983,2019,Women's Team Athletic Student Aid,4863954
199,2019,Women's Team Head Coach Average Salary,276713,2019,Women's Team Recruiting Expenses,222218,2019,Women's Team Athletic Student Aid,3681319
